iso3,mys_f_1990,mys_f_1991,mys_f_1992,mys_f_1993,mys_f_1994,mys_f_1995,mys_f_1996,mys_f_1997,mys_f_1998,mys_f_1999,mys_f_2000,mys_f_2001,mys_f_2002,mys_f_2003,mys_f_2004,mys_f_2005,mys_f_2006,mys_f_2007,mys_f_2008,mys_f_2009,mys_f_2010,mys_f_2011,mys_f_2012,mys_f_2013,mys_f_2014
CRI,6.079701734,6.037902228,6.384424684,6.564755231,6.582228885,6.807183256,6.782911316,6.991185775,7.15684812,7.146228332,7.058455962,7.223366132,7.407535244,7.54975265,7.600319779,7.771492592,7.836434158,7.988930225,8.284500122,8.335780144,8.250049591,8.37195015,8.433389664,8.589015007,8.74464035
CUB,8.508971639,8.671592631,8.834213623,8.996834615,9.159455608,9.3220766,9.422855807,9.523635013,9.624414219,9.725193426,9.825972632,9.924461402,10.02295017,10.1692112,10.31547222,10.46173325,10.60799427,10.75425529,10.90051632,11.04677734,11.19303837,11.33929939,11.48556042,11.63768435,11.79182312
CYP,7.560397356,7.736409876,7.916520119,8.100823482,8.285126845,8.469430208,8.653733571,8.838036935,9.022340298,9.206643661,9.390947024,9.575250387,9.75955375,9.943857114,10.12816048,10.35309029,10.63368988,10.86209965,10.96082973,10.92920017,11.11723042,11.32223034,11.59342003,11.66178989,11.74787045
CZE,7.967698464,8.198010445,8.434979757,8.671949069,8.908918381,9.145887693,9.382857005,9.619826317,9.856795629,10.09376494,10.33073425,10.56770356,10.80467288,11.04164219,11.2786115,11.51558081,11.75255013,11.77937984,11.8490696,11.97356033,12.06735039,12.17617035,12.26041031,12.35463047,12.39958
DEU,9.841051266,10.01738003,10.19370879,10.37003756,10.54636632,10.72269508,10.8823441,11.04199312,11.20164213,11.36129115,11.52094016,11.96652771,12.41211526,12.85770282,13.30329037,13.20040035,13.09622955,13.18692017,13.26113987,13.34796047,13.38274956,13.49940014,13.56260014,13.62051964,13.63171005
DJI,,,,,,,,,,,,,,,,,,,,,,,,,
DMA,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,11.29056843,11.31770992,11.34491666,11.3721234,11.39933014,11.50308037,11.69332659,11.88357282,12.07381904,12.26406527,12.45431149,12.64455771,12.83480394,13.02505016,13.05692005,12.93390338,12.8108867,12.68787003,12.94357967,12.68443012,12.4268198,12.52262974,12.82083035,12.89597988,12.21434021
DOM,4.929900722,5.085910238,5.241919755,5.397929271,5.553938788,5.709948304,5.863877694,6.017807084,6.171736473,6.325665863,6.479595253,6.575281089,6.670966926,6.766652763,6.8623386,6.958024437,7.168117252,7.378210068,7.392826716,7.407443364,7.422060013,7.528470039,7.673190117,7.731110096,7.88380003
DZA,3.091532639,3.295769637,3.500006635,3.704243633,3.908480631,4.112717628,4.339336763,4.565955898,4.792575032,5.019194167,5.245813302,5.416477094,5.587140887,5.75780468,5.928468473,6.099132265,6.364920139,6.46186018,6.55880022,6.657943834,6.758586115,6.860749717,6.964457635,7.069733216,7.176600154
